"Source of information [ENTER MULTIPLE CODES IF APPLICABLE] 1=Editor&Publisher, 2=Cision, 3=LION, 4=INN, 5=CCM, 6=BIA/Kelsey, 10=Manual search, 11=Lib of Congress (DON'T USE), 12=OnlineNewspaperDirectory, 13=MichelesList, 14=Mondotimes, 15=ABYZ, 16=NAM, 17=NatlNewspaperAssoc, 18=Other, 19 = NJPA",Name of outlet or organization,"Coverage area (9=not applicable, e.g. 5 or more counties",Munis covered (clean for Zev) 9=coverage area not clear or too diffuse,"Municipality ""character"" code; 6 = even mix of characteristics; 9 = n/a (from Nj State Police 2016 Uniform Crime Report: https://www.njsp.org/ucr/2016/index.shtml, section 7)",Outlet/org URL (homepage) (9=no website),"FREQUENCY 1=daily, 2=weekly, 3=biweekly, 4=monthly, 5=bimonthly, 6=regularly (but not daily), 7=irregularly, 8 annually","Original medium 1=Newspaper 2=Television 3=Radio 4=Online, 5=Magazine",Outlet/org owner (9=Don't know or N/A),"Outlet's language of publication 1=English, 2=Spanish, 3=Arabic, 4=Hindi or other language of India, 5=Mandarin or Cantonese, 6=Other, 7=Multilingual, 8=Tagalog or other Filipino language 9=Don't know/NA, 10=Korean, 11=Polish, 12=Ukranian","Does this outlet serve an ethnic community? 1=yes, 2=no","Is this outlet public media? (1=yes, 2=no)","(for Philly and NYC outlets) Does this outlet serve NJ? (1=yes, 2=no, 9=N/A)",Notes,Other potential variables: staff size,other variable: is the outlet hyperlocal? Y/N
"5, 1","Scroll, The (of Union County College)","Cranford (Suburban), Elizabeth (Urban), Plainfield (Urban), Scotch Plains (Suburban)","Cranford, Elizabeth, Plainfield, Scotch Plains",6,9,4,1,Union County College,1,1,2,9,https://www.ucc.edu/academics/academic-divisions/division-of-humanities/humanities-student-clubs-and-activities/the-scroll/,,
"5, 15, 2, 19, 1, 12",Sentinel - No. & So. Brunswick,"Dayton (Suburban), Kendall Park (Suburban), Monmouth Junction (Suburban), North Brunswick (Suburban), South Brunswick (Suburban)","Dayton, Kendall Park (South Brunswick Township), Monmouth Junction, North Brunswick, South Brunswick",Suburban,https://centraljersey.com/ns-sentinel/,2,1,"Packet Media, LLC, Newspaper Media Group",1,2,2,9,lives at centraljersey.com,,
"17, 5, 19, 1, 2","Sentinel of Gloucester County, The","Franklin (Rural) , Elk (Rural), Monroe (Rural) and Washington Township (Rural), Clayton Boro (Suburban), Newfield Boro (Rural) and Glassboro Boro (Suburban), and Vineland (Urban)","Franklin, Elk, Monroe, Washington Township, Clayton Borough, Newfield Borough, Glassboro Borough, Vineland",Rural,http://thenjsentinel.com/,2,1,Independently owned (Cindy Merckx Publications LLC),1,2,2,9,,,
"5, 15, 1, 2","Setonian, The",South Orange,South Orange,Urban,http://www.setonian.com,2,1,Seton Hall University,1,2,2,9,,,
1,"Shamong Sun, The","Shamong (Rural), Southampton Township (Rural), Tabernacle (Rural), Woodland (Rural),  Waterford (Rural), Buddtown (Rural)","Shamong, Southampton Township, Tabernacle, Woodland, Waterford, Buddtown",Rural,https://thesunpapers.com/shamong-sun/,2,1,"Packet Media, LLC, Newspaper Media Group",1,2,2,9,,,
"18, 2",Shelterforce Magazine,9,9,9,https://shelterforce.org/,5,5,National Housing Institute,1,2,2,9,** In Cision a Shelterforce 2/20/2020,,
2,Shore Local,"Egg Harbor City (Rural), Mays Landing  (Rural), Pomona  (Rural), Smithville  (Rural), Absecon (Suburban), Pleasantville (Suburban), Brigatine (Suburban), Northfield (Suburban), Atlantic City (Urban), Downbeach/Margate (Urban), Ventnor(Urban), Longport (Suburban), Ocean City (Suburban), Upper Cape (Rural), Somers Point (Suburban) ","Egg Harbor City, Mays Landing, Pomona, Smithville, Absecon, Pleasantville, Brigatine, Northfield, Atlantic City, Margate, Ventnor, Longport, Ocean City, Upper Cape, Somers Point",Suburban,https://www.shorelocalnews.com/,3,5,Independently owned,1,2,2,9,,,
1,"Sicklerville Sun, The","Sicklerville (Suburban), Washington Township (Suburban)","Sicklerville, Washington Township",Suburban,https://thesunpapers.com/sicklerville-sun/,2,1,"Packet Media, LLC, Newspaper Media Group",1,2,2,9,,,
"5, 15, 2, 1","Signal, The",Ewing,Ewing,Suburban,http://www.tcnjsignal.net,2,1,The College of New Jersey,1,2,2,9,,,
"16, 2",Sing Tao Daily,9,9,9,https://www.singtaousa.com,1,4,9,5,1,2,9,,,
"16, 2",Sino Monthly New Jersey,9,9,9,http://www.sino-monthly.com,4,5,"Sino Monthly NJ, Inc.",5,1,2,9,,,
"15, 1, 2",SNJ Today,"Mays Landing (Rural), Cape May Court House (Rural), Camden (Urban), Bridgeton (Urban),  City of Salem (Rural)","Mays Landing, Middle Township, Camden, Bridgeton, City of Salem",Rural,http://www.snjtoday.com/,1,4,Independelty owned (Hope Loft),1,2,2,9,,,
2,Somerset County Community News,"Bridgewater (Suburban), Manville (Urban) , Hillsborough (Suburban), South Bound Brook (Urban)","Bridgewater, Manville, Hillsborough, South Bound Brook",6,9,6,1,About Our Town,1,2,2,9,see https://www.aboutourtown.online/blog/categories/somerset-county,,
5,"Source, The","Allentown (Rural), Millstone (Rural), Roosevelt (Suburban), New Egypt (Rural) and Upper Freehold (Rural)","Allentown, Millstone, Roosevelt, New Egypt, Upper Freehold",Rural,http://mycommunitysource.com,6,4,Indepently owned (community crowdsource),1,2,2,9,,,
2,South Jersey Biz,"Burlington/ Urban (10), Suburban (12), Rural (17), Camden/ Urban (14), Suburban (21), (2), and Gloucester/ Urban (2), Suburban (14), Rural (13)","Burlington County, Camden County, Gloucester County",Suburban,https://www.southjerseybiz.net/,4,5,DelVal Media LLC,1,2,2,9,,,
2,South Jersey Observer,"Bellmawr (Suburban), Gloucester City (Urban), Brooklawn (Urban), Mt. Ephraim (Urban), Runnemede (Suburban), Westville (Urban)","Bellmawr, Gloucester City, Brooklawn, Mount Ephraim, Runnemede, Westville",Urban,https://southjerseyobserver.com/,1,4,"Independently owned (Anne Forline Media, LLC)",1,2,2,9,,,
5,South Orange Maplewood Online Radio Experience (SOMORE),"South Orange (Urban), Maplewood (Urban)","South Orange, Maplewood",Urban,http://somore.org/,6,4,Indepently owned (community crowdsource),1,2,2,9,,,
"18, 2",South Passaic Daily Voice,"Clifton (Urban), Haledon (Urban), Hawthorne (Urban), Little Falls (Urban), North Haledon (Urban), Passaic (Urban), Paterson (Urban), Prospect Park (Urban), Totowa (Urban), Wayne (Suburban) & Woodland Park (Urban)","Clifton, Haledon, Hawthorne, Little Falls, North Haledon, Passaic, Paterson, Prospect Park, Totowa, Wayne, Woodland Park",Urban,https://dailyvoice.com/new-jersey/southpassaic/,1,4,Cantata Media (Jerry DeMarco),1,2,2,1,,,
"15, 14, 18, 1, 2",South Philly Review,9,9,9,https://southphillyreview.com/,1,1,"Packet Media, LLC, Newspaper Media Group",1,2,,2,,,
"15, 2, 12","Southern Ocean Times, The",9,9,9,9,2,1,"Micromedia Publications, Inc.",1,2,2,9,see https://issuu.com/micromediapubs/stacks; https://www.jerseyshoreonline.com/thesouthernoceantimes/,,
"19, 1, 2, 12",Sparta Independent,Sparta (Suburban),Sparta,Suburban,http://www.spartaindependent.com/,2,1,Straus News,1,2,2,9,,,
2,Spirit of Union,Union,Union,Urban,https://rennamedia.com/publications/spirit-of-union/,4,1,Renna Media,1,2,2,9,,,
2,"Stafford Leader, The",Stafford Township,Stafford Township,Rural,9,4,1,The SandPaper Inc.,1,2,2,9,https://www.thesandpaper.net/page/publications,,
"2, 1","Stall, The",Lincroft,Lincroft,Suburban,http://stall.brookdalecc.edu/,5,1,Brookdale Community College,1,2,2,9,,,
"5, 15, 19, 2, 1, 11, 12","Star-Ledger, The","Essex County/ Urban (13), Suburban (9), Rural (0) and Bergen County/ Urban (46), Suburban (20), Rural (0)","Essex County, Bergen County",Urban,http://www.nj.com/starledger/,1,1,Advance,1,2,2,9,,,
2,State Broadcast News,9,9,9,https://statebroadcastnews.com/category/garden/,6,2,Independently owned (LUBETKIN MEDIA COMPANIES LLC),1,2,2,9,,,
"15, 1","Stute, The",Hoboken,Hoboken,Urban,http://thestute.com/,2,1,Stevens Institute of Technology,1,2,2,9,,,
"5, 19, 2, 1, 12",Suburban,"Old Bridge (Suburban), Parlin (Suburban), Sayreville (Suburban), South Amboy (Urban)","Old Bridge, Parlin, Sayreville, South Amboy",Suburban,http://www.centraljersey.com/news/suburban/,2,1,"Packet Media, LLC, Newspaper Media Group",1,2,2,9,,,
2,Summit Times,Summit,Summit,Urban,https://rennamedia.com/publications/summit-times/,4,1,Renna Media,1,2,2,9,,,
"5, 1, 2, 16, 11",Svoboda,Parsippany,Parsippany,Suburban,http://svoboda-news.com,2,1,Independently owned; Freedom,12,1,2,9,,,
1,"Tabernacle Sun, The","Shamong (Rural), Southampton Township (Rural), Tabernacle (Rural), Woodland (Rural),  Waterford (Rural), Buddtown (Rural)","Shamong, Southampton Township, Tabernacle, Woodland,  Waterford, Buddtown",Rural,https://thesunpapers.com/tabernacle-sun/,2,1,"Packet Media, LLC, Newspaper Media Group",1,2,2,9,,,
18,TAP into Barnegat/Waretown,"Barnegat (Rural), Waretown (Rural)","Barnegat, Waretown",Rural,https://www.tapinto.net/towns/barnegat-slash-waretown/,1,4,"Independently owned (Shark Ventures, LLC)",1,2,2,9,,,
13,TAP into Basking Ridge,Basking Ridge,Basking Ridge,Suburban,https://www.tapinto.net/towns/basking-ridge/,1,4,"Independently owned (WFP Media Partners, LLC)",1,2,2,9,,,
13,TAP into Bayonne,Bayonne,Bayonne,Urban,https://www.tapinto.net/towns/bayonne/,1,4,Lenox Consulting LLC,1,2,2,9,,,
18,TAP into Belmar/Lake Como,"Belmar (Suburban), Lake Como (Suburban)","Belmar, Lake Como",Suburban,https://www.tapinto.net/towns/belmar-slash-lake-como/,1,4,"Independently owned (Words Count Publishing, LLC)",1,2,2,9,,,
"5, 13",TAP into Berkeley Heights,Berkeley Heights,Berkeley Heights,Suburban,https://www.tapinto.net/towns/berkeley-heights/,1,4,Independently owned (The Alternative Press of Berkeley Heights LLC),1,2,2,9,,,
13,TAP into Bloomfield,Bloomfield,Bloomfield,Urban,https://www.tapinto.net/towns/bloomfield/,1,4,"Independently owned (Bloomfield News, LLC)",1,2,2,9,,,
18,TAP into Camden,Camden,Camden,Urban,https://www.tapinto.net/towns/camden/,6,4,Independently owned (Skyway Publishing LLC),1,2,2,9,,,
"5, 13",TAP into Chatham,Chatham,Chatham,Suburban,https://www.tapinto.net/towns/chatham/,1,4,"Independently owned (The Alternative Press of Chatham, LLC)",1,2,2,9,,,
"5, 13",TAP into Clark,Clark,Clark,Urban,https://www.tapinto.net/towns/clark/,1,4,Independently owned (The Clee Group LLC),1,2,2,9,,,
13,Tap into Cranford,Cranford,Cranford,Suburban,https://www.tapinto.net/towns/cranford/,1,4,"Independently owned (Media Focus, LLC)",1,2,2,9,,,
13,Tap into Denville,Denville,Denville,Suburban,https://www.tapinto.net/towns/denville/,1,4,Independenty owned (Ferlanda Fox Nixon),1,2,2,9,,,
13,Tap into East Brunswick,East Brunswick,East Brunswick,Suburban,https://www.tapinto.net/towns/east-brunswick/,1,4,Independently owned (The Alternative Press of East Brunswick),1,2,2,9,,,
13,Tap into East Hanover/Florham Park,"East Hanover, Florham Park","East Hanover, Florham Park",Suburban,https://www.tapinto.net/towns/east-hanover-slash-florham-park/,1,4,"Independently owned (Queuedup, LLC)",1,2,2,9,,,
5,TAP into East Orange/Orange,East Orange,East Orange,Urban,https://www.tapinto.net/towns/east-orange-slash-orange/,1,4,"Independently owned (East Orange TAP, LLC)",1,2,2,9,,,
"5, 13",TAP into Edison,Edison,Edison,Suburban,https://www.tapinto.net/towns/edison/,1,4,"NJ Information Services, Inc",1,2,2,9,,,
13,Tap into Elizabeth,Elizabeth,Elizabeth,Urban,https://www.tapinto.net/towns/elizabeth/,1,4,Independently owned (KJL Promotions LLC),1,2,2,9,,,
18,TAP into Fair Lawn/Glen Rock,"Fair Lawn (Urban), Glen Rock (Urban)","Fair Lawn, Glen Rock",Urban,https://www.tapinto.net/towns/fair-lawn-slash-glen-rock/,1,4,"Independently owned (Goldfinch Girls Publishing, LLC)",1,2,2,9,,,
13,Tap into Flemington/Raritan,"Flemington (urban), Raritan (Urban)","Flemington, Raritan",Urban,https://www.tapinto.net/towns/flemington-slash-raritan/,1,4,Independently owned (Mc Guillicutty & Schwartz),1,2,2,9,,,
18,TAP into Franklin/Somerset,Franklin Township,Franklin Township,Rural,https://www.tapinto.net/towns/franklin-township/,1,1,"Independtly owned (LGMB, LLC)",1,2,2,9,,,
18,TAP into Hackensack,Hackensack,Hackensack,Urban,https://www.tapinto.net/towns/hackensack/,1,1,"Independently owned (Bergen Digital Media, LLC)",1,2,2,9,,,
18,TAP into Hamilton/ Robbinsville,"Hamilton (Suburban), Robbinsvillle (Rural)","Hamilton, Robbinsvillle",6,https://www.tapinto.net/towns/hamilton-slash-robbinsville/,1,4,Lenox Consulting,1,1,2,9,,,
18,TAP into Hasbrouck Heights/Wood-Ridge/Teterboro,"Hasbrouck Heights (Urban), Woodridge (Urban), Teterboro (Urban)","Hasbrouck Heights, Woodridge, Teterboro",Urban,https://www.tapinto.net/towns/hasbrouck-heights-slash-wood-ridge-slash-teterboro/,1,4,"Independently owned (Aviator Publishing, LLC)",1,2,2,9,,,
18,TAP into Hawthorne,Hawthorne,Hawthorne,Urban,https://www.tapinto.net/towns/hawthorne/,1,4,Independently owned (Point of View Ventures LLC),1,2,2,9,,,
13,Tap into Hillsborough,Hillsborough,Hillsborough,Suburban,https://www.tapinto.net/towns/hillsborough/,1,4,Independently owned (Thirty and Done Online Publishing),1,2,2,9,,,
18,TAP into Hillside,Hillside,Hillside,Urban,https://www.tapinto.net/towns/hillside/,1,4,Independently owned (Hillside News Online LLC),1,2,2,9,,,
18,TAP into Holmdel & Colts Neck,"Holmdel, Colts Neck","Holmdel, Colts Neck",Suburban,https://www.tapinto.net/towns/holmdel-and-colts-neck/,1,4,"Independently owned (Hometown News, LLC)",1,2,2,9,,,
18,TAP into Linden,Linden,Linden,Urban,https://www.tapinto.net/towns/linden/,1,4,"Global Queens Publishing, LLP",1,2,2,9,,,
"5, 13",TAP into Livingston,Livingston,Livingston,Suburban,https://www.tapinto.net/towns/livingston/,1,4,Independently owned (Livingston TAP LLC),1,2,2,9,,,
"5, 13",TAP into Madison,Madison,Madison,Suburban,https://www.tapinto.net/towns/madison/,1,4,Independently owned (Two Sisters Media),1,2,2,9,,,
18,TAP into Middletown,Middletown,Middletown,Suburban,https://www.tapinto.net/towns/middletown/,1,4,Independently owned (Hometown News LLC),1,2,2,9,,,
"5, 13",TAP into Millburn/Short Hills,Millburn,Millburn,Suburban,https://www.tapinto.net/towns/millburn-slash-short-hills/,1,4,"Independetly owned (Auberge Media, LLC)",1,2,2,9,,,
13,Tap into Milltown/Spotswood,"Milltown (Suburban) , Spotswood (Suburban)","Milltown, Spotswood",Suburban,https://www.tapinto.net/towns/milltown-slash-spotswood/,1,4,"Independently owned (The Alternative Press  Milltown, and Spotswood, LLC)",1,2,2,9,,,
"5, 13",TAP into Montclair,Montclair,Montclair,Urban,https://www.tapinto.net/towns/montclair/,1,4,"Independently owned (Montclair Media Group, LLC)",1,2,2,9,,,
13,Tap into Montville,Montville,Montville,Suburban,https://www.tapinto.net/towns/montville/,1,4,Independently owned (Montville News Online LLC),1,2,2,9,,,
"5, 13",TAP into Morristown,Morristown,Morristown,Urban,https://www.tapinto.net/towns/morristown/,1,4,"Independently owned (Morristown Publishing, LLC)",1,2,2,9,,,
13,Tap into Mountainside,Mountainside,Mountainside,Suburban,https://www.tapinto.net/towns/mountainside/,1,4,Independently owned (The Alternative Press of Berkeley Heights LLC),1,2,2,9,,,
13,Tap into New Brunswick,New Brunswick,New Brunswick,Urban,https://www.tapinto.net/towns/new-brunswick/,1,4,"Jaffe Communications, Inc.",1,2,2,9,,,
"5, 13",Tap into New Providence,New Providence,New Providence,Suburban,https://www.tapinto.net/towns/new-providence/,1,4,Independently owned (The Alternative Press of Berkeley Heights LLC),1,2,2,9,,,
18,TAP into Newark,Newark,Newark,Urban,https://www.tapinto.net/towns/newark/,1,4,Independently owned (Skyway Publishing LLC),1,2,2,9,,,
"5, 13",TAP into Newton,Newton,Newton,Rural,https://www.tapinto.net/towns/newton/,1,4,"Independently owned (Sparta's Local News, LLC)",1,2,2,9,,,
13,Tap into North Plainfield/Green Brook/Watchung,"North Plainfield (Urban), Green Brook (Suburban), Watchung (Suburban)","North Plainfield, Green Brook, Watchung",Suburban,https://www.tapinto.net/towns/north-plainfield-slash-green-brook/,1,4,"Independently owned (The Alternative Press-Warren, LLC)",1,2,2,9,,,
13,Tap into Nutley,Nutley,Nutley,Urban,https://www.tapinto.net/towns/nutley/,1,4,"Independently owned (Bloomfield News, LLC)",1,2,2,9,,,
18,TAP into Paramus,Paramus,Paramus,Suburban,https://www.tapinto.net/towns/paramus/,6,4,"Independently owned (Bergen Digital Media, LLC)",1,2,2,9,,,
18,TAP into Parsippany,Parsippany,Parsippany,Suburban,https://www.tapinto.net/towns/parsippany/,1,4,"Triple Win, Inc",1,2,2,9,,,
13,Tap into Passaic Valley,"Little Falls (Urban), Totowa (Urban), Woodland Park (Urban)","Little Falls, Totowa, Woodland Park",Urban,https://www.tapinto.net/towns/passaic-valley/,6,4,"Independently owned (Passaic Valley Media, LLC)",1,2,2,9,,,
13,Tap into Paterson,Paterson,Paterson,Urban,https://www.tapinto.net/towns/paterson/,1,4,Independently owned (Lenox Consulting LLC),1,2,2,9,,,
18,TAP into Piscataway,Piscataway,Piscataway,Suburban,https://www.tapinto.net/towns/piscataway/,1,4,"(Independently owned) Birch Run Media, LLC",1,2,2,9,,,
13,Tap into Plainfield,Plainfield,Plainfield,Urban,https://www.tapinto.net/towns/plainfield/,1,4,Independently owned (Queen City Daily LLC),1,2,2,9,,,
"5, 13",TAP into Randolph,Randolph,Randolph,Suburban,https://www.tapinto.net/towns/randolph/,6,4,Independently owned (Randolph News Online LLC),1,2,2,9,,,
18,TAP into Red Bank,Red Bank,Red Bank,Urban,https://www.tapinto.net/towns/red-bank/,1,4,Independently owned (Navesink Etnerprises LLC),1,2,2,9,,,
"5, 13",TAP into Roselle/Roselle Park,Roselle Pak,Roselle Pak,Urban,https://www.tapinto.net/towns/roselle-roselle-park/,1,4,Independently owned (KJL Promotions LLC),1,2,2,9,,,
"13, 12",Tap into Roxbury,Roxbury,Roxbury,Suburban,https://www.tapinto.net/towns/roxbury/,1,4,Independently owned (Fred. J. Aun),1,2,2,9,,,
"5, 13",TAP into Scotch Plains/Fanwood,"Scotch Plains (Suburban), Fanwood (Urban)","Scotch Plains, Fanwood",6,https://www.tapinto.net/towns/scotch-plains-slash-fanwood/,1,4,Independently owned (Scotch Plains Online LLC),1,2,2,9,,,
"5, 13",TAP into SOMA (South Orange/Maplewood),"South Orange (Urban), Maplewood (Urban)","South Orange, Maplewood",Urban,https://www.tapinto.net/towns/soma/,1,4,"Independently owned (FMS Enews, LLC)",1,2,2,9,,,
13,Tap into Somerset Hills,Bernardsville,Bernardsville,Suburban,https://www.tapinto.net/towns/somerset-hills/,6,4,Independently owned (TAP Into Local LLC),1,2,2,9,,,
13,Tap into Somerville,Somerville,Somerville,Urban,https://www.tapinto.net/towns/somerville/,1,4,Independently owned (Thirty and Done Online Publishing),1,2,2,9,,,
13,Tap into South Brunswick,"South Brunswick (Suburban), Cranbury (Suburban)","South Brunswick, Cranbury",Suburban,https://www.tapinto.net/towns/south-brunswick-cranbury/,1,4,Independently owned (TAP Ventures LLC),1,2,2,9,,,
"5, 13",TAP into South Plainfield,South Plainfield,South Plainfield,Suburban,https://www.tapinto.net/towns/south-plainfield/,6,4,Independently owned (Backyard Publishing LLC),1,2,2,9,,,
"5, 13",TAP into Sparta,Sparta,Sparta,Suburban,https://www.tapinto.net/towns/sparta/,1,4,"Independently owned (Sparta's Local News, LLC)",1,2,2,9,,,
13,Tap into Springfield,Springfield,Springfield,Suburban,https://www.tapinto.net/towns/springfield/,1,4,Independently owned (Springfield News Online),1,2,2,9,,,
18,TAP into Stafford/LBI,"Stafford (Rural), Long Beach Island (Suburban)","Stafford, Long Beach Island",6,https://www.tapinto.net/towns/stafford-slash-lbi/,6,4,"Independently owned (Shark Ventures, LLC)",1,2,2,1,,,
"5, 13",TAP into Summit,Summit,Summit,Urban,https://www.tapinto.net/towns/summit/,6,4,Independently owned (JG Elliott LLC),1,2,2,9,,,
"5, 13, 15",TAP into the Breeze (Bridgewater/Raritan),"Bridgewater, Raritan","Bridgewater, Raritan",Suburban,https://www.tapinto.net/towns/bridgewater-slash-raritan/,1,4,"Independently owned (LB Media, LLC dba The Breeze)",1,2,2,9,,,
13,Tap into Union,Union,Union,Urban,https://www.tapinto.net/towns/union/,1,4,Independently owned (Union News Online LLC),1,2,2,9,,,
13,Tap into Verona/Cedar Grove,"Verona (Urban), Cedar Grove (Suburban)","Verona, Cedar Grove",6,https://www.tapinto.net/towns/verona-slash-cedar-grove/,6,4,"Independently owned (Stoner Brown Research, LLC)",1,2,2,9,,,
13,Tap into Warren,Warren,Warren,Urban,https://www.tapinto.net/towns/warren/,1,4,"Independently owned (The Alternative Press-Warren, LLC)        ",1,2,2,9,,,
"5, 13",TAP into West Essex,"Essex Fells (Suburban), Fairfield (Suburban), North Caldwell (Subrban) and Roseland (Suburban","Essex Fells, Fairfield, North Caldwell, Roseland",Suburban,https://www.tapinto.net/towns/west-essex/,6,4,"Independently owned (WE Press, LLC)",1,2,2,9,,,
"5, 13",TAP into West Orange,West Orange,West Orange,Suburban,https://www.tapinto.net/towns/west-orange/,6,4,"Independently owned (Alternative Press of West Orange, LLC)",1,2,2,9,,,
"5, 13",TAP into Westfield,Westfield,Westfield,Suburban,https://www.tapinto.net/towns/westfield/,6,4,"Independently owned (Lois Jackie, LLC)",1,2,2,9,,,
"18, 2",Teaneck Daily Voice,Teaneck,Teaneck,Urban,https://dailyvoice.com/new-jersey/teaneck,6,4,Cantata Media (Jerry DeMarco),1,2,2,1,"hard to tell how freqnelty teaneck-specific news is published, due to way things are aggregated",,
"15, 2, 19, 1, 12",thehammontonnews.com,Hammonton,Hammonton,Rural,https://www.thehammontonnews.com/,2,4,Gannett,1,2,2,9,,,
15,Time Off,Princeton,Princeton,Suburban,http://www.centraljersey.com/time_off/,6,1,"Packet Media, LLC, Newspaper Media Group",1,2,2,9,,,
16,TIME TV,"Newark (Urban), Paterson (Urban), Woodbridge Township (Rural)","Newark, Paterson, Woodbridge Township",urban,9,1,2,Bangla Patrika USA,"7 (1, 6 (Bangladeshi))",1,2,1,see http://www.timetvusa.com/,,
"17, 5, 15, 2, 12, 1","Times of Scotch Plains & Fanwood, The", Scotch Plains (Suburban) and Fanwood (Urban),"Scotch Plains, Fanwood",6,9,2,1,"Independently owned (Watchung Communications, Inc)",1,2,2,9,,,
"5, 15, 19, 1, 2, 11, 12","Times of Trenton, The",Trenton,Trenton,Urban,http://www.nj.com/times/,2,1,Advance,1,2,2,9,,,
"15, 2, 12","Toms River Times, The",Toms River,Toms River,Suburban,9,2,1,"Micromedia Publications, Inc.",1,2,2,9,https://www.jerseyshoreonline.com/thetomsrivertimes/,,
"5, 15, 2","Torch, The",Paramus,Paramus,Suburban,http://torchbcc.com/,4,1,Bergen Community College,1,2,2,9,,,
"5, 15, 2, 1","Tower, The",Union,Union,Urban,9,3,1,Kean University,1,2,2,9,http://www.kean.edu/~thetower,,
"5, 15, 19, 2, 1",Town Topics,Princeton,Princeton,Suburban,http://www.towntopics.com,2,1,Witherspoon Media Group,1,2,2,9,,,
"15, 19, 1, 2, 12",Township Journal,"Andover (Rural), Byram (Rural), Stanhope (Suburban), and Newton (Rural)","Andover, Byram, Stanhope, Newton",Rural,http://www.townshipjournal.com/,2,1,Straus News,1,2,2,9,,,
5,Transportation Radio,"Newark (Urban), Elizabeth (Urban)","Newark, Elizabeth",Urban,http://www.transportationradio.com/,1,3,Independently owned (Bernie Wagonblast; Transportation News),1,2,2,9,no local news,,
"18, 2",Trenton Downtowner,Trenton,Trenton,Urban,https://communitynews.org/trenton-downtowner/,4,1,"Community News Service, LLC",1,2,2,9,"Websites are all under communitynews.org, but printed papers go out monthly",,
"5, 18,15, 19, 1, 2, 12","Trentonian, The",Trenton,Trenton,Urban,http://www.trentonian.com/,1,1,"MediaNews Group, Inc.",1,2,2,9,,,
"15, 2, 1, 16",TrentonMonitor.com,Trenton,Trenton,Urban,http://trentonmonitor.com/,6,4,Trenton Diocese,1,2,2,9,,,
16,Tri-State Voice,9,9,9,https://www.tristatevoice.com/,6,4,Independently owned,1,1,2,1,,,
"5, 19, 2, 1, 12","Tri-Town News, The","Farmingdale (Rural), Howell (Suburban), Jackson Suburban","Farmingdale, Howell, Jackson",Suburban,https://centraljersey.com/tri-town-news/,6,1,"Packet Media, LLC, Newspaper Media Group",1,2,2,9,,,
"18, 15, 2",TriCityNews,"Asbury Park (Urban), Long Branch (Urban), and Red Bank (Urban)  ","Asbury Park, Long Branch, Red Bank",Urban,9,2,1,Independently owned,1,2,2,9,http://www.trinews.com/,,
2,Tuckerton/Little Egg Harbor Leader,"Tuckerton (Rural), Little Egg Harbor (Rural)","Tuckerton, Little Egg Harbor",Rural,9,2,1,The SandPaper Inc.,1,2,2,9,https://www.thesandpaper.net/page/publications,,
18,TV 30 Newsmagazine,"Cape May County, Atlantic County, Cumberland County, Washington and Bass River (Burlington County), Little Egg Harbor, Tuckerton, Long Beach, Beach Haven, Eagleswood, Stafford, Ship Bottom, Surf City, Harvey Cedars, Barnegat Light, Barnegat","Absecon City, Atlantic City, Brigantine City, Buena Borough, Buena Vista Township, Corbin City, Egg Harbor City, Egg Harbor Township, Estell Manor City, Folsom Borough, Galloway Township, Hamilton Township, Hammonton Town, Linwood City, Longport Borough, Margate City, Mullica Township, Northfield City, Pleasantville City, Port Republic City, Somers Point City, Ventnor City, Weymouth Township, Avalon, Borough, Cape May City, Cape May Point Borough, Dennis Township, Lower Township, Middle Township, North Wildwood City, Ocean City, Sea Isle City, Stone Harbor Borough, Upper Township, West Cape May Borough, West Wildwood Borough, Wildwood City, Wildwood Crest Borough, Woodbine Borough",Urban,https://www.pressofatlanticcity.com/30/,1,1,Lee Enterprises,1,2,2,9,,,
"16, 2",TV Asia,9,9,9,http://www.tvasiausa.com,1,2,TV Asia Group,7,1,2,9,,,
"5, 15, 19, 1, 2","Two River Times, The","Red Bank (Urban), Fair Haven (Suburban), Rumson (Suburban), Little Silver (Suburban), Shrewsbury (Suburban), Oceanport (Suburban), Monmouth Beach (Suburban), Sea Bright (Suburban), Highlands (Suburban), Atlantic Highlands (Suburban), Middletown (Suburban), Holmdel (Suburban), Colts Neck (Suburban)","Red Bank, Fair Haven, Rumson, Little Silver, Shrewsbury, Oceanport, Monmouth Beach, Sea Bright, Highlands, Atlantic Highlands, Middletown, Holmdel, Colts Neck",Suburban,http://www.tworivertimes.com,2,1,Newport Media Holdings,1,2,2,9,,,
"15, 2",U.S. 1 Princeton Info,Princeton,Princeton,Suburban,https://princetoninfo.com/,2,1,Community News Service,1,2,2,9,,,
16,"U.S. China Press, The",9,9,9,http://www.uschinapress.com,1,1,People's Republic of China,5,1,2,1,,,
"5, 1, 2, 16","Ukrainian Weekly, The",9,9,9,http://www.ukrweekly.com,2,1,Independently owned; Freedom,12,1,2,9,,,
"5, 15, 19, 1, 2",Union County Local Source,"Union County//Urban (11), Suburban (10), Rural (0)",Union County,Urban,9,2,1,"Worrall Community Newspapers, Inc.",1,2,2,9,https://worrall-media.business.site/,,
